186	263
188	252
189	260
223	261
195	256
189	229
220	254
222	228
164	249
162	262
208	251
1	253
181	255
182	259
185	250
163	231
242	264
177	240
176	236
221	230
232	244
118	257
126	258
136	245
247	266
97	246
151	248
4	234
4	232
5	238
5	235
5	237
6	239
7	241
8	243
4	233
219	74
220	77
222	75
267	1
515	592
517	581
518	589
552	590
524	585
518	558
549	583
551	557
493	578
491	591
537	580
330	582
510	584
511	588
514	579
492	560
571	593
506	569
505	565
550	559
561	573
447	586
455	587
465	574
576	595
426	575
480	577
333	563
333	561
334	567
334	564
334	566
335	568
336	570
337	572
333	562
548	403
549	406
551	404
596	330
844	921
846	910
847	918
881	919
853	914
847	887
878	912
880	886
822	907
820	920
866	909
659	911
839	913
840	917
843	908
821	889
900	922
835	898
834	894
879	888
890	902
776	915
784	916
794	903
905	924
755	904
809	906
662	892
662	890
663	896
663	893
663	895
664	897
665	899
666	901
662	891
877	732
878	735
880	733
925	659
1173	1250
1175	1239
1176	1247
1210	1248
1182	1243
1176	1216
1207	1241
1209	1215
1151	1236
1149	1249
1195	1238
988	1240
1168	1242
1169	1246
1172	1237
1150	1218
1229	1251
1164	1227
1163	1223
1208	1217
1219	1231
1105	1244
1113	1245
1123	1232
1234	1253
1084	1233
1138	1235
991	1221
991	1219
992	1225
992	1222
992	1224
993	1226
994	1228
995	1230
991	1220
1206	1061
1207	1064
1209	1062
1254	988
1317	267
1317	596	
1317	925	
1317	1254


