183	51	321.18	1	38
135	68	269.966	3	39
130	69	141.727	3	39
129	70	38.371	1	40
226	45	84.624	3	41
78	48	58.263	3	41
106	108	37.481	3	42
108	107	675.315	3	42
107	10	32.855	3	39
233	162	120.805	3	43
243	168	743.354	3	43
168	169	704.286	3	43
169	158	290.08	3	43
158	170	640.203	3	43
170	171	811.148	3	43
241	159	45.815	3	43
159	164	655.081	3	43
171	173	565.359	3	43
175	172	949.649	3	43
173	176	426.443	3	43
239	160	30.097	3	43
237	177	732.101	3	43
160	167	304.118	3	43
128	11	26.917	1	40
167	208	154.665	3	43
153	152	629.714	3	43
212	154	55.974	3	43
155	161	593.17	3	43
112	14	302.215	3	39
113	13	128.005	3	39
114	15	73.81	1	40
116	16	41.949	3	41
117	116	238.002	3	42
118	119	30.897	1	45
119	42	32.873	1	45
122	17	62.848	1	38
120	18	189.201	3	41
125	19	54.555	1	44
122	20	289.929	3	39
180	21	478.189	1	44
192	127	207.073	3	39
127	179	28.313	3	39
79	22	308.227	3	39
131	23	40.881	1	44
132	25	46.907	3	39
137	26	44.209	1	44
183	43	63.671	3	39
139	27	271.1	3	39
225	44	73.474	3	41
140	28	165.193	1	40
141	29	22.232	3	39
142	227	265.297	3	39
142	30	336.15	3	39
143	31	245.422	3	39
144	32	131.627	3	39
145	46	168.109	3	39
146	33	200.871	3	39
147	34	292.759	3	41
147	35	214.05	3	41
150	36	89.824	3	41
149	37	92.398	3	41
151	38	158.999	3	41
151	178	27.837	3	41
129	24	457.875	3	39
152	175	948.841	3	43
154	156	521.321	3	43
218	153	44.027	3	43
235	155	966.305	3	43
76	110	21.037	3	42
113	111	337.082	3	42
114	112	120.288	3	42
110	114	497.083	3	42
114	115	336.606	3	42
117	113	253.496	3	42
120	118	350.101	3	42
122	121	820.38	3	42
123	122	212.221	3	42
115	124	574.753	3	42
125	123	694.121	3	42
125	117	148.131	3	42
124	125	134.783	3	42
124	157	169.878	3	42
157	126	763.592	3	42
129	128	461.55	3	42
128	131	231.598	3	42
132	130	320.243	3	42
131	133	934.196	3	42
135	132	448.789	3	42
174	134	385.914	3	42
245	135	25.844	3	42
72	174	280.266	3	42
134	136	293.412	3	42
138	183	236.226	3	42
224	139	52.243	3	42
165	138	307.637	3	42
141	265	189.055	3	42
140	142	111.915	3	42
143	141	90.737	3	42
144	140	540.963	3	42
145	143	413.06	3	42
246	145	17.271	3	42
94	96	13.087	3	42
146	144	155.969	3	42
96	146	61.072	3	42
98	147	207.332	3	42
99	47	436.721	3	42
148	149	189.044	3	42
150	247	32.5	3	42
47	150	63.788	3	42
100	148	108.032	3	42
147	151	556.194	3	42
121	120	861.349	3	42
130	129	952.351	3	42
133	137	787.927	3	42
156	223	79.62	3	43
161	221	720.998	3	43
135	49	32.837	3	39
